,Unnamed: 0,User,Tweet,Polarity Score,Neutral Score,Negative Score,Positive Score,Sentiment
110,110,freduardoo,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
111,111,mr_amoah17,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
112,112,LudweGasela,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
113,113,Camtweets93,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
114,114,mithisa_motho,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
115,115,naffahrudin,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
116,116,M990SA,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
117,117,dvngles,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
118,118,halilintaryk99,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
119,119,BenzianeK,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
120,120,getdickoutdave,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
121,121,ugbede_ng,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
122,122,SyedDaniaal,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
123,123,YAMII_SAMAA,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
124,124,SifaEmoh,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
125,125,FrankPL23,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
126,126,ikari__j,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
127,127,CentHQ_,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
128,128,UnMijis,"@Aruldddd So we count transfer and agent fees, potential bonus and the wages of a 5 year contract for Haaland but only transfer fee for Sancho? Lol",0.714,0.794,0.0,0.206,Positive
129,129,enock3665,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
130,130,FiniTweets,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
131,131,Haruna__Shehu,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
132,132,khan03_08_2002,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
133,133,devratios,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
134,134,cedric_4real,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
135,135,jamcasj,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
136,136,heisrahman,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
137,137,WhoIsUmvr,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
138,138,DavidDeSouza07,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
139,139,Curtixxx_,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
140,140,LaniAjibike,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
141,141,omotayor_,"RT @TheRealDanielW3: Sancho had a higher transfer fee than haaland, is on higher wages than haaland and also signed a 5 year contract. Wher…",0.0,1.0,0.0,0.0,Neutral
